,,,HOW TO USE THIS FILE
,,,Above the below table are indicated the sample sizes of the null hypotheses used to generate it
,,,as well as the number of independent simulations of the null hypothesis used.
,,,"To find the p-value corresponding to your MIC score, look for the largest number less than your"
,,,score in the left-hand column. The p-value of your score is at most the number in the middle
,,,column of that row + the uncertainty listed in the right column of the same row.

,,,**Note that these p-values are uncorrected. This means that you must correct the p-value you
,,,obtain here to account for the number of tests you performed. We suggest doing this by
,,,controlling the false discovery rate.

n = 120, numTrials = 30000000
MIC >= x,gives p <= y,+/- (with 95% confidence)
0.384790,0.000175689,0.000004743
0.384760,0.000175945,0.000004746
0.384740,0.000176201,0.000004750
0.384730,0.000176457,0.000004753
0.384720,0.000176714,0.000004757
0.384690,0.000176970,0.000004760
0.384680,0.000177226,0.000004763
0.384650,0.000177482,0.000004767
0.384640,0.000177738,0.000004770
0.384620,0.000177994,0.000004774
0.384600,0.000178250,0.000004777
0.384580,0.000178506,0.000004781
0.384570,0.000178762,0.000004784
0.384550,0.000179019,0.000004787
0.384520,0.000179275,0.000004791
0.384510,0.000179531,0.000004794
0.384490,0.000179787,0.000004798
0.384460,0.000180043,0.000004801
0.384430,0.000180299,0.000004805
0.384400,0.000180555,0.000004808
0.384360,0.000180811,0.000004811
0.384330,0.000181067,0.000004815
0.384310,0.000181323,0.000004818
0.384280,0.000181580,0.000004822
0.384260,0.000181836,0.000004825
0.384230,0.000182092,0.000004828
0.384210,0.000182348,0.000004832
0.384170,0.000182604,0.000004835
0.384150,0.000182860,0.000004839
0.384130,0.000183116,0.000004842
0.384110,0.000183372,0.000004845
0.384090,0.000183628,0.000004849
0.384070,0.000183885,0.000004852
0.384040,0.000184141,0.000004855
0.384010,0.000184397,0.000004859
0.383980,0.000184653,0.000004862
0.383970,0.000184909,0.000004866
0.383950,0.000185165,0.000004869
0.383920,0.000185421,0.000004872
0.383910,0.000185677,0.000004876
